"No.","Time","Source","PHY","Protocol","Length","Delta time (\302\265s end to start)","SN","NESN","More Data","Event counter","Info","bt_data","comment"
"9900","189.940","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","1","0","False","2612","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"11170","220.912","Master_0xaf9a9b6d","LE 1M","ATT","13","47193\302\265s","0","0","False","3264","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff03130016","Auto- shutdown off"
"11173","220.959","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","1","0","False","3265","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"13704","282.761","Master_0xaf9a9b6d","LE 1M","ATT","13","47193\302\265s","1","1","False","4566","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff030d5161","volume 57 percent"
"13707","282.808","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","0","1","False","4567","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"14659","306.560","Master_0xaf9a9b6d","LE 1M","ATT","13","47193\302\265s","0","0","False","5067","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff030d8c9c","volumn 100 percent"
"14662","306.607","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","1","0","False","5068","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"17213","368.693","Master_0xaf9a9b6d","LE 1M","ATT","12","47193\302\265s","0","0","False","6375","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff02e6e8","Customize"
"17216","368.741","Slave_0xaf9a9b6d","LE 1M","ATT","5","151\302\265s","1","0","True","6376","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"17218","368.742","Slave_0xaf9a9b6d","LE 1M","ATT","166","151\302\265s","0","1","False","6376","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff32e67a805f817a7f7b9d787d4b59cb827cc2b9b534758131ca545300007d7d7d7d7dâ\200\246",""
"17236","369.169","Slave_0xaf9a9b6d","LE 1M","ATT","13","150\302\265s","1","0","False","6385","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff03e6e6cf",""
"18427","398.098","Master_0xaf9a9b6d","LE 1M","ATT","36","47193\302\265s","1","1","False","6994","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff1aed01010101010101010101000000000000000000000000000112","start (lock screen)"
"18430","398.146","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","0","1","True","6995","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"18432","398.146","Slave_0xaf9a9b6d","LE 1M","ATT","13","150\302\265s","1","0","False","6995","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff03ededdd",""
"19643","427.835","Master_0xaf9a9b6d","LE 1M","ATT","36","47193\302\265s","1","1","False","7620","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff1aed01010101010101010101010000000000000000000000000113","lock left shoulder"
"19646","427.882","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","0","1","True","7621","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"19648","427.883","Slave_0xaf9a9b6d","LE 1M","ATT","13","150\302\265s","1","0","False","7621","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff03ededdd",""
"20753","455.292","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","1","0","True","8198","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
"20755","455.292","Slave_0xaf9a9b6d","LE 1M","ATT","13","150\302\265s","0","1","False","8198","Rcvd Handle Value Notification, Handle: 0x000a (Unknown: Unknown)","ffff03ededdd",""
"22484","513.293","Master_0xaf9a9b6d","LE 1M","ATT","12","47194\302\265s","0","0","False","9419","Sent Write Request, Handle: 0x000a (Unknown: Unknown)","ffff02e9eb","sync position"
"22487","513.340","Slave_0xaf9a9b6d","LE 1M","ATT","5","150\302\265s","1","0","False","9420","Rcvd Write Response, Handle: 0x000a (Unknown: Unknown)","",""
